word,sentiment
como,positivo
gran,positivo
mayor,positivo
nuevo,positivo
general,positivo
obra,positivo
principal,positivo
bien,positivo
poco,positivo
trabajo,positivo
importante,positivo
mejor,positivo
obras,positivo
cerca,positivo
éxito,positivo
acuerdo,positivo
pues,positivo
propio,positivo
original,positivo
igual,positivo
cuerpo,positivo
primero,positivo
servicio,positivo
modo,positivo
principios,positivo
gracias,positivo
personaje,positivo
dirección,positivo
superior,positivo
personajes,positivo
apoyo,positivo
capacidad,positivo
derecho,positivo
real,positivo
grande,positivo
realizar,positivo
firme,positivo
profesional,positivo
similar,positivo
libre,positivo
sentido,positivo
respecto,positivo
mejores,positivo
sencillo,positivo
características,positivo
influencia,positivo
valor,positivo
favor,positivo
energía,positivo
oro,positivo
dicha,positivo
considerado,positivo
alcanzar,positivo
victoria,positivo
honor,positivo
premio,positivo
nada,positivo
amor,positivo
realizado,positivo
bastante,positivo
campeón,positivo
trabajar,positivo
educación,positivo
derecha,positivo
líder,positivo
pasar,positivo
mil,positivo
unidad,positivo
prueba,positivo
contrato,positivo
libertad,positivo
completo,positivo
llevar,positivo
pronto,positivo
rápidamente,positivo
ganar,positivo
completamente,positivo
famoso,positivo
máximo,positivo
capaz,positivo
conseguir,positivo
maestro,positivo
ganado,positivo
paz,positivo
humano,positivo
vivo,positivo
variedad,positivo
protección,positivo
premios,positivo
claro,positivo
destaca,positivo
económico,positivo
derrota,positivo
Grande,positivo
right,positivo
propuesta,positivo
destino,positivo
corazón,positivo
cabecera,positivo
intención,positivo
grabado,positivo
lograr,positivo
reconocido,positivo
producir,positivo
señor,positivo
ayudar,positivo
dedicado,positivo
clásico,positivo
llevado,positivo
dulce,positivo
suficiente,positivo
verdad,positivo
fama,positivo
destacado,positivo
ganador,positivo
top,positivo
éxitos,positivo
cubierta,positivo
breve,positivo
rápido,positivo
notable,positivo
mejorar,positivo
disponible,positivo
verdadero,positivo
abogado,positivo
inmediatamente,positivo
activo,positivo
amplio,positivo
reforma,positivo
fácil,positivo
homenaje,positivo
justo,positivo
moderno,positivo
intereses,positivo
representante,positivo
cumplir,positivo
triunfo,positivo
salvo,positivo
ganando,positivo
pensamiento,positivo
fortaleza,positivo
amistad,positivo
ampliamente,positivo
recuperar,positivo
derrotado,positivo
jugando,positivo
belleza,positivo
fe,positivo
legal,positivo
alianza,positivo
igualmente,positivo
celebración,positivo
claramente,positivo
fácilmente,positivo
suerte,positivo
habilidad,positivo
cielo,positivo
proteger,positivo
considerar,positivo
justicia,positivo
disposición,positivo
deportivo,positivo
aumentar,positivo
supuesto,positivo
calor,positivo
integrado,positivo
ventaja,positivo
oferta,positivo
logrado,positivo
caballería,positivo
soporte,positivo
patrón,positivo
riqueza,positivo
excelente,positivo
comenzar,positivo
reformas,positivo
brillante,positivo
derrotar,positivo
seguro,positivo
moral,positivo
recuperación,positivo
precisamente,positivo
fans,positivo
útil,positivo
inteligencia,positivo
juvenil,positivo
trabajado,positivo
mejora,positivo
bueno,positivo
confianza,positivo
liberación,positivo
defender,positivo
declaración,positivo
noble,positivo
considerable,positivo
gana,positivo
maestros,positivo
interesante,positivo
ideal,positivo
superar,positivo
santo,positivo
equilibrio,positivo
talento,positivo
gusto,positivo
héroe,positivo
cima,positivo
cero,positivo
aprobación,positivo
humor,positivo
celebrado,positivo
prestigio,positivo
intelectual,positivo
poderoso,positivo
profundo,positivo
paciente,positivo
beneficios,positivo
ofrecer,positivo
compromiso,positivo
inspiración,positivo
apoyar,positivo
espiritual,positivo
esperar,positivo
célebre,positivo
flor,positivo
detenido,positivo
exactamente,positivo
alimento,positivo
asegurar,positivo
sorpresa,positivo
añadir,positivo
completar,positivo
amante,positivo
beneficio,positivo
abundante,positivo
cable,positivo
demuestra,positivo
extremadamente,positivo
mejoras,positivo
virtud,positivo
rico,positivo
otorgado,positivo
adecuado,positivo
visible,positivo
suficientemente,positivo
estable,positivo
contraste,positivo
fortuna,positivo
logro,positivo
secundario,positivo
conduce,positivo
impulso,positivo
impresión,positivo
continuidad,positivo
distinción,positivo
correcto,positivo
aprobado,positivo
afluente,positivo
saludo,positivo
facilidad,positivo
realista,positivo
subir,positivo
facilitar,positivo
progreso,positivo
magia,positivo
conforme,positivo
caliente,positivo
estabilidad,positivo
definido,positivo
celebrar,positivo
pasión,positivo
auge,positivo
recurso,positivo
funcionar,positivo
formalmente,positivo
fiel,positivo
logros,positivo
dispuesto,positivo
revolucionario,positivo
suave,positivo
prima,positivo
adecuada,positivo
aviso,positivo
novio,positivo
sensación,positivo
perfectamente,positivo
liberado,positivo
integral,positivo
atracción,positivo
Renacimiento,positivo
elaborado,positivo
defensor,positivo
ganadora,positivo
positivo,positivo
diplomático,positivo
preparar,positivo
profundamente,positivo
apreciar,positivo
apoyado,positivo
atractivo,positivo
favorable,positivo
notablemente,positivo
contribución,positivo
significativo,positivo
probar,positivo
avances,positivo
ordenado,positivo
creer,positivo
ligero,positivo
cumplimiento,positivo
trato,positivo
pendiente,positivo
potente,positivo
ventajas,positivo
abundancia,positivo
operar,positivo
extenso,positivo
crédito,positivo
fresco,positivo
cura,positivo
dinámica,positivo
feliz,positivo
defensores,positivo
consistente,positivo
perfecto,positivo
ganadores,positivo
capturar,positivo
lujo,positivo
elevación,positivo
sólido,positivo
semejante,positivo
silencio,positivo
pacto,positivo
franco,positivo
instrumental,positivo
ejemplar,positivo
preparado,positivo
estelar,positivo
garantizar,positivo
renacentista,positivo
eficaz,positivo
inteligente,positivo
afición,positivo
disfrutar,positivo
mina,positivo
experto,positivo
vencedor,positivo
aporte,positivo
puro,positivo
apoya,positivo
levantar,positivo
ánimo,positivo
comprender,positivo
correctamente,positivo
designar,positivo
supervivencia,positivo
superado,positivo
ama,positivo
dorado,positivo
seguramente,positivo
comprensión,positivo
amistoso,positivo
eficacia,positivo
atraer,positivo
fantasía,positivo
preciso,positivo
conducir,positivo
obligación,positivo
madrugada,positivo
avanzado,positivo
fijo,positivo
eficiente,positivo
pura,positivo
enamorado,positivo
santa,positivo
derrotas,positivo
masivo,positivo
promesa,positivo
favorito,positivo
élite,positivo
armonía,positivo
lealtad,positivo
monumental,positivo
renombre,positivo
respaldo,positivo
limpieza,positivo
madurez,positivo
conveniente,positivo
pozo,positivo
ángel,positivo
bienestar,positivo
acogida,positivo
excepcional,positivo
plomo,positivo
adaptado,positivo
legendario,positivo
influyente,positivo
segura,positivo
gloria,positivo
impresionante,positivo
romántica,positivo
cálido,positivo
espectacular,positivo
afirmación,positivo
aprecia,positivo
esplendor,positivo
querido,positivo
excelencia,positivo
abiertamente,positivo
tracción,positivo
alegría,positivo
satisfacer,positivo
prefiere,positivo
aplicado,positivo
positivos,positivo
querer,positivo
efectuar,positivo
sagrado,positivo
entusiasmo,positivo
privilegio,positivo
brillo,positivo
ayudado,positivo
dignidad,positivo
trofeo,positivo
innovación,positivo
extraordinario,positivo
auténtico,positivo
reforzar,positivo
sensible,positivo
mágico,positivo
gracia,positivo
romántico,positivo
superioridad,positivo
accesible,positivo
joyas,positivo
curioso,positivo
negociar,positivo
renombrado,positivo
prestigioso,positivo
superó,positivo
decisivo,positivo
moverse,positivo
restaurar,positivo
compatible,positivo
felicidad,positivo
portavoz,positivo
agradable,positivo
fomentar,positivo
convenio,positivo
apropiado,positivo
trabajador,positivo
fluido,positivo
emociones,positivo
dominar,positivo
lógico,positivo
ganancias,positivo
maestría,positivo
fidelidad,positivo
aficionado,positivo
prominente,positivo
orgullo,positivo
inofensivo,positivo
enteramente,positivo
sorprendente,positivo
celeste,positivo
revolucionaria,positivo
protector,positivo
tapa,positivo
indicado,positivo
complemento,positivo
legalmente,positivo
galardón,positivo
admiración,positivo
sostenido,positivo
Magno,positivo
mejorado,positivo
renacimiento,positivo
elegante,positivo
supremo,positivo
promotor,positivo
placer,positivo
prosperidad,positivo
talentos,positivo
listo,positivo
reconocimientos,positivo
revelación,positivo
deber,positivo
resistente,positivo
azar,positivo
dominado,positivo
dotado,positivo
distintivo,positivo
apogeo,positivo
restaurado,positivo
certeza,positivo
exacto,positivo
sostener,positivo
recto,positivo
autónomo,positivo
integridad,positivo
corregir,positivo
domina,positivo
genio,positivo
mérito,positivo
empuje,positivo
ayudando,positivo
agudo,positivo
perdón,positivo
fino,positivo
sonda,positivo
racional,positivo
enamorada,positivo
amanecer,positivo
alegre,positivo
